Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.455743,0,0,0,0,5.48826,-23.5885,37.476,-21.1993,0,0,0,0,-0.00050708,0.00269839,-0.00481393,0.00292811,0.3,0,0,0,4.69741e-15,-2.19408e-14,3.33145e-14,-1.7088e-14,0,0,0,0,0,0,0,0
0.36995,0.0222222,0.0811965,0.00907659,-0.0489275,-4.73294,25.4515,-49.3321,33.9219,0,5.82723e-06,1.61786e-05,-1.22406e-05,0.00111938,-0.0107466,0.0279931,-0.0232082,0.3,-9.58867e-17,-4.12286e-16,2.60794e-16,-6.8884e-14,1.93402e-14,-1.84533e-13,8.53746e-13,0,0,0,0,0,0,0,0
0.390778,0.0444444,0.0505847,0.030402,0.0640749,-3.96511,23.0611,-48.5247,35.2854,0,-1.96024e-05,-3.15571e-05,6.78811e-05,-0.00150094,0.01549,-0.039968,0.0320507,0.3,2.83881e-16,3.25275e-16,-1.23317e-15,-4.56004e-15,-2.59912e-13,6.5774e-13,-2.49826e-13,0,0,0,0,0,0,0,0
0.369068,0.0666667,0.0725134,0.0130184,-0.0324285,-6.15107,38.0545,-82.8719,62.5023,0,4.82926e-05,6.93798e-05,-0.000166058,0.00440659,-0.0478629,0.131073,-0.111706,0.3,-4.87105e-16,-1.32638e-16,3.50555e-15,9.60838e-14,-4.45209e-13,-3.36722e-13,-1.13515e-13,0,0,0,0,0,0,0,0
0.375581,0.0888889,0.0630922,0.00468502,-0.0128624,-5.51899,36.625,-82.8872,63.8442,0,-0.000113357,-0.000159471,0.000389926,-0.00922286,0.100071,-0.270397,0.226739,0.3,4.58993e-16,1.33552e-17,-1.9101e-15,-9.39688e-14,-1.15022e-14,3.09201e-13,1.63628e-13,0,0,0,0,0,0,0,0
0.361349,0.111111,0.0731693,0.00313096,-0.00412834,-6.51823,41.799,-94.2713,73.4085,0,0.000263795,0.000369704,-0.00090724,0.026093,-0.287827,0.804667,-0.700826,0.3,-4.55713e-16,3.80304e-16,3.41778e-15,1.51701e-13,-8.14723e-13,4.83008e-13,-7.26464e-13,0,0,0,0,0,0,0,0
0.370515,0.133333,0.0661014,0.00214818,-0.0016028,-5.42529,35.6421,-80.9004,62.7889,0,-0.000613149,-0.000859696,0.00210512,-0.0539167,0.586082,-1.60082,1.35974,0.3,2.04113e-16,-3.25782e-16,-6.1163e-16,-8.94667e-14,2.81976e-13,-4.97235e-13,5.79184e-13,0,0,0,0,0,0,0,0
0.370515,0.155556,0.0694735,-0.00177656,0.0046233,2.65767,-22.2507,56.9324,-47.488,0,0.00143036,0.0020285,-0.00482703,0.139306,-1.45772,3.93325,-3.32309,0.3,-6.24056e-17,1.76327e-16,2.24305e-16,3.92337e-15,-2.40091e-14,4.88412e-14,-3.40636e-14,0,0,0,0,0,0,0,0
0.388982,0.177778,0.0393343,0.00548504,-0.00933759,13.0884,-81.8537,176.422,-130.023,0,-0.00346681,-0.00545383,0.00976343,-0.510174,4.26294,-10.2212,7.9576,0.3,-3.47744e-17,-1.68523e-16,7.17605e-17,-3.12883e-14,2.01688e-13,-4.35926e-13,3.19318e-13,0,0,0,0,0,0,0,0
0.657384,0.2,0.0246911,-0.0299394,-0.0117394,-0.889748,3.07382,-3.67695,1.52508,0,0.0114115,0.0299011,0.0109092,3.87617,-14.0271,17.594,-7.58217,0.3,1.71682e-16,3.163e-16,-7.83626e-16,-2.75131e-15,1.14284e-14,3.40078e-15,1.53167e-15,0,0,0,0,0,0,0,0
0.563992,0.195324,-0.0176192,0.00382527,0.00918163,-2.06244,8.80894,-13.1149,6.68557,0.0429941,0.0479338,-0.00899641,-0.0100763,6.62644,-28.4009,42.2195,-21.4831,0.3,-1.99781e-16,1.31453e-16,4.00868e-16,1.44629e-14,-5.02588e-14,1.70789e-14,-7.14599e-15,0,0,0,0,0,0,0,0
0.573061,0.181515,-0.0123189,-0.00646438,-0.00400494,-3.72757,15.4573,-22.3137,11.0671,0.0839778,0.03087,0.00174996,0.00423424,6.0061,-25.1519,36.5411,-18.2034,0.3,1.90233e-16,8.2311e-17,-3.68391e-16,-8.6531e-16,-3.80981e-15,-2.12777e-14,9.3675e-15,0,0,0,0,0,0,0,0
0.559403,0.159219,-0.0251345,-0.00167465,0.00192226,-5.29841,22.669,-33.7261,17.2122,0.121035,0.0326736,-0.00369233,-0.00211983,5.50433,-23.7365,35.4822,-18.1657,0.3,-1.63296e-16,2.37753e-17,1.83964e-17,-1.30056e-15,1.41728e-14,4.73054e-15,-4.00457e-16,0,0,0,0,0,0,0,0
0.559403,0.129477,-0.0287892,-0.00299195,-0.000580424,-6.4709,27.6794,-41.1527,20.9902,0.152432,0.0242816,-0.00224602,0.000673454,4.3271,-18.6586,27.8724,-14.2612,0.3,2.05999e-16,7.91911e-17,-4.89374e-16,-1.58281e-14,5.42143e-14,-1.97153e-14,6.96661e-15,0,0,0,0,0,0,0,0
