Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.09419,0.2,0,0,0,-0.0737113,0.0607603,-0.00152262,-0.00736039,0,0,0,0,0.725799,-1.27342,0.823536,-0.189804,0.2,0,0,0,1.37719e-17,-3.18817e-17,2.49113e-17,-6.65063e-18,0,0,0,0,0,0,0,0
0.929826,0.173205,-0.0535308,-0.00870075,-0.00432123,-0.524064,1.32485,-1.16727,0.354203,0.1,0.146339,-0.0128975,-0.0148003,-0.180293,0.043199,0.208285,-0.115957,0.2,-1.79695e-18,-2.15384e-18,-2.39761e-18,-1.36567e-16,3.69783e-16,-3.34343e-16,1.01751e-16,0,0,0,0,0,0,0,0
0.962284,0.1,-0.079964,-0.00679466,9.68108e-05,-0.585773,1.43244,-1.22317,0.359521,0.173205,0.00968895,0.000717901,0.00325522,0.709839,-1.78165,1.54279,-0.457625,0.2,8.92283e-18,6.2916e-19,-2.44398e-17,8.4386e-17,-2.29182e-16,2.08698e-16,-6.40806e-17,0,0,0,0,0,0,0,0
0.947934,1.22465e-17,-0.0966871,0.000262153,0.000706532,-0.59173,1.53461,-1.36667,0.415243,0.2,0.00612876,-0.00810203,-0.00171876,-0.763711,1.86701,-1.60305,0.475265,0.2,-4.75245e-18,5.72982e-19,-1.24183e-18,-1.14015e-16,3.09054e-16,-2.8118e-16,8.6541e-17,0,0,0,0,0,0,0,0
1.0139,-0.1,-0.08219,0.00549791,-0.000647142,-0.159046,0.435378,-0.384885,0.113355,0.173205,-0.0265141,-0.00389501,0.000942222,-1.31897,3.10126,-2.53921,0.713742,0.2,7.48113e-18,3.24731e-18,3.24698e-19,2.3265e-16,-5.81628e-16,4.86784e-16,-1.37533e-16,0,0,0,0,0,0,0,0
0.957572,-0.173205,-0.0479694,0.00996054,-0.000513854,-0.0689326,0.275041,-0.29174,0.0973844,0.1,-0.0402148,-0.0032982,8.22497e-05,-2.38662,5.96769,-5.18494,1.54527,0.2,-1.97367e-17,-5.52823e-18,2.48421e-17,-5.77986e-16,1.5354e-15,-1.36892e-15,4.13368e-16,0,0,0,0,0,0,0,0
0.986914,-0.2,9.50884e-05,0.0113635,2.59155e-05,0.17567,-0.344319,0.248117,-0.0635312,2.44929e-17,-0.048238,0.000192942,0.000586889,-2.03422,4.96079,-4.19551,1.21586,0.2,4.2732e-17,2.59543e-17,-1.00542e-17,2.03121e-16,6.86072e-16,7.44567e-16,1.41706e-16,0,0,0,0,0,0,0,0
0.986914,-0.173205,0.0477076,0.00988967,0.00044229,0.342461,-0.776231,0.624767,-0.174748,-0.1,-0.0411407,0.00276719,0.000335216,-1.47535,3.61916,-3.07141,0.892117,0.2,-6.82683e-17,1.81648e-17,6.63706e-17,1.3649e-15,-2.46255e-15,8.08679e-16,-5.98898e-16,0,0,0,0,0,0,0,0
0.986914,-0.1,0.0827205,0.00569353,0.00079021,0.415625,-0.996409,0.831251,-0.238422,-0.173205,-0.0239651,0.00497249,0.000251502,-0.513428,1.29102,-1.11158,0.325936,0.2,2.41074e-17,-7.77679e-18,-4.59616e-18,-1.00311e-15,2.64609e-16,-1.97912e-15,5.33451e-17,0,0,0,0,0,0,0,0
0.986914,-3.67394e-17,0.0954895,3.0115e-06,0.000904854,0.425644,-1.08574,0.942771,-0.277985,-0.2,3.93179e-05,0.00568518,-1.07227e-05,0.58274,-1.37584,1.14062,-0.326122,0.2,1.92295e-17,3.54191e-17,-3.26585e-18,9.3448e-16,-2.44918e-15,2.14884e-15,-6.34921e-16,0,0,0,0,0,0,0,0
0.986914,0.1,0.082706,0.00353524,0.000786269,0.144298,-0.458254,0.435867,-0.13511,-0.173205,0.0238569,0.00494317,-0.000221982,1.52419,-3.67713,3.08952,-0.891416,0.2,-5.97387e-17,1.30782e-17,6.40072e-17,4.88677e-16,-2.49805e-15,8.43277e-16,-6.09939e-16,0,0,0,0,0,0,0,0
0.986914,0.173205,0.0477474,-0.00987287,0.000453143,0.0361193,-0.175697,0.191955,-0.0639115,-0.1,0.04136,0.00284792,-0.000395046,2.05663,-4.99186,4.20964,-1.21761,0.2,2.46079e-17,-3.93864e-18,-4.65289e-18,-8.88517e-16,-3.17769e-17,-1.72211e-15,-2.19882e-17,0,0,0,0,0,0,0,0
0.986914,0.2,2.35566e-17,-0.0114014,-3.62098e-17,-0.177364,0.348471,-0.251786,0.0646593,-4.89859e-17,0.0477423,-1.45052e-16,-0.000451755,2.03823,-4.96944,4.20207,-1.21761,0.2,1.04791e-17,3.21742e-17,1.95491e-18,8.59843e-16,-2.22914e-15,1.93686e-15,-5.68399e-16,0,0,0,0,0,0,0,0
0.986914,0.173205,-0.0477474,-0.00987287,0.000256309,-0.344909,0.779723,-0.62706,0.175322,0.1,0.04136,-0.00284792,-0.000395046,1.47367,-3.61559,3.06874,-0.891416,0.2,-6.35289e-17,-1.65386e-17,4.59908e-17,1.0397e-17,-1.24681e-15,-2.55375e-16,-2.83801e-16,0,0,0,0,0,0,0,0
0.986914,0.1,-0.082706,-0.00570182,-0.000786269,-0.417268,1.00124,-0.836049,0.240021,0.173205,0.0238569,-0.00494317,-0.000221982,0.514054,-1.2922,1.11237,-0.326122,0.2,5.84395e-17,6.96769e-18,1.60183e-18,5.57031e-17,1.06554e-15,4.17786e-16,2.36581e-16,0,0,0,0,0,0,0,0
0.986914,6.12323e-17,-0.0954895,1.70338e-06,0.000511808,-0.430832,1.09291,-0.947209,0.279028,0.2,3.93179e-05,-0.00568518,-1.07227e-05,-0.58278,1.37551,-1.14012,0.325936,0.2,-5.71844e-17,1.95614e-17,4.82389e-17,9.78344e-16,-3.74455e-15,1.90692e-15,-9.17315e-16,0,0,0,0,0,0,0,0
